"id","varname","month","coef","significant","ci_lower","ci_upper","model","Species","monthno"
2,"spei1","Jul",0.0441265536203998,FALSE,-0.135813976953676,0.219792484088278,"correlation","PJ",2
3,"spei1","Aug",0.142975200004232,FALSE,-0.0321608633377599,0.31089679929368,"correlation","PJ",3
4,"spei1","Sep",0.110758997056901,FALSE,-0.0789932645110912,0.288748980122378,"correlation","PJ",4
5,"spei1","Oct",0.260042687013227,TRUE,0.0599043050926203,0.427629539856623,"correlation","PJ",5
6,"spei1","Nov",0.283267915286922,TRUE,0.103970180654253,0.434235481676971,"correlation","PJ",6
7,"spei1","Dec",0.210753908550303,TRUE,0.0316268292903733,0.363764277870029,"correlation","PJ",7
8,"spei1","JAN",0.315020147276347,TRUE,0.150360523449661,0.465536291111553,"correlation","PJ",8
9,"spei1","FEB",0.234719740163891,TRUE,0.0698446443759684,0.388766155859057,"correlation","PJ",9
10,"spei1","MAR",0.160952641274793,FALSE,-0.0476379081690494,0.33451086065111,"correlation","PJ",10
11,"spei1","APR",0.188334267547877,TRUE,0.0341996446520494,0.338886016525816,"correlation","PJ",11
12,"spei1","MAY",0.0200926344215287,FALSE,-0.152648988346153,0.204719161123241,"correlation","PJ",12
13,"spei1","JUN",0.278178110182896,TRUE,0.110129575590595,0.431643060350483,"correlation","PJ",13
14,"spei1","JUL",0.218776376923324,TRUE,0.0581209127698603,0.367529987455892,"correlation","PJ",14
15,"spei1","AUG",0.0131958181890318,FALSE,-0.201649554282644,0.223514504751738,"correlation","PJ",15
16,"spei1","SEP",0.0515217591448989,FALSE,-0.12847345071815,0.230028270982779,"correlation","PJ",16
17,"tmean_C","Jun",-0.182028288838408,TRUE,-0.361947514672337,-0.00438388231712571,"correlation","PJ",1
18,"tmean_C","Jul",-0.0478258248490819,FALSE,-0.226770296687391,0.108150257923016,"correlation","PJ",2
19,"tmean_C","Aug",-0.0929284055570486,FALSE,-0.284208714554535,0.105698787920732,"correlation","PJ",3
20,"tmean_C","Sep",-0.183782337110409,TRUE,-0.318536884688655,-0.033453430867053,"correlation","PJ",4
21,"tmean_C","Oct",-0.184517000520899,FALSE,-0.33746916629755,0.00568316614155092,"correlation","PJ",5
22,"tmean_C","Nov",-0.224464288372814,TRUE,-0.394475316965096,-0.0585884310077625,"correlation","PJ",6
23,"tmean_C","Dec",0.0110223149971437,FALSE,-0.120819722025377,0.151643818609762,"correlation","PJ",7
24,"tmean_C","JAN",0.0954443084237634,FALSE,-0.0710558127047904,0.253565255749647,"correlation","PJ",8
25,"tmean_C","FEB",-0.00131161795555326,FALSE,-0.143950128580099,0.168677481410414,"correlation","PJ",9
26,"tmean_C","MAR",-0.0944769824979661,FALSE,-0.274438293633356,0.0914394513591034,"correlation","PJ",10
27,"tmean_C","APR",-0.126942117780376,FALSE,-0.286517770325043,0.060078222217202,"correlation","PJ",11
28,"tmean_C","MAY",0.0135634773877492,FALSE,-0.174245576140269,0.2059555193531,"correlation","PJ",12
29,"tmean_C","JUN",-0.322146281064302,TRUE,-0.454728232141163,-0.169501128946413,"correlation","PJ",13
30,"tmean_C","JUL",-0.165900192742581,TRUE,-0.310487247815765,-0.00640517605451561,"correlation","PJ",14
31,"tmean_C","AUG",0.0595609309285883,FALSE,-0.105736433183297,0.214311983161577,"correlation","PJ",15
32,"tmean_C","SEP",-0.0457222039498793,FALSE,-0.229043999060739,0.118492233191984,"correlation","PJ",16
1,"spei1","Jun",0.120896485889425,FALSE,-0.00145984109161676,0.223062462083908,"response","PJ",1
2,"spei1","Jul",-0.0112330712118834,FALSE,-0.125111668229927,0.110947294407918,"response","PJ",2
3,"spei1","Aug",0.0934244572725639,FALSE,-0.054306016674554,0.23124526396923,"response","PJ",3
4,"spei1","Sep",0.0452514813340885,FALSE,-0.0876306340300945,0.188534450596545,"response","PJ",4
5,"spei1","Oct",0.180625319037354,TRUE,0.0123498047908642,0.34200870381242,"response","PJ",5
6,"spei1","Nov",0.23720700385948,TRUE,0.0882114045229947,0.384119649381505,"response","PJ",6
7,"spei1","Dec",0.172259140432203,TRUE,0.00461448243055314,0.306832149607149,"response","PJ",7
8,"spei1","JAN",0.251410091779753,TRUE,0.101963633348034,0.396881639419094,"response","PJ",8
9,"spei1","FEB",0.243044845188059,TRUE,0.0910314032963908,0.403038128655331,"response","PJ",9
10,"spei1","MAR",0.107124929590261,FALSE,-0.0511277493663728,0.237469191847178,"response","PJ",10
11,"spei1","APR",0.0311711199280512,FALSE,-0.102426251669644,0.152624754346109,"response","PJ",11
12,"spei1","MAY",0.0572072524718291,FALSE,-0.0723499117890931,0.179284337056431,"response","PJ",12
13,"spei1","JUN",0.0815550504269684,FALSE,-0.0214062215909023,0.173553226462831,"response","PJ",13
14,"spei1","JUL",0.0574725006207627,FALSE,-0.059935026721484,0.201454081501586,"response","PJ",14
15,"spei1","AUG",-0.0180586222313263,FALSE,-0.167474866255941,0.153274781414741,"response","PJ",15
16,"spei1","SEP",-0.0450735641439708,FALSE,-0.18067383786997,0.0769425678611465,"response","PJ",16
17,"tmean_C","Jun",-0.0931403812106891,FALSE,-0.189941877685938,0.00163148457160564,"response","PJ",1
18,"tmean_C","Jul",0.00762044112497958,FALSE,-0.111166730354622,0.119154887113839,"response","PJ",2
19,"tmean_C","Aug",-8.32771295224436e-05,FALSE,-0.148898026131662,0.126202827844895,"response","PJ",3
20,"tmean_C","Sep",-0.0892164343467677,FALSE,-0.221473648640161,0.0540434577763971,"response","PJ",4
21,"tmean_C","Oct",-0.0537896967535342,FALSE,-0.202444850968581,0.0960158701071503,"response","PJ",5
22,"tmean_C","Nov",-0.0591827281954038,FALSE,-0.239380312286122,0.101215651689484,"response","PJ",6
23,"tmean_C","Dec",0.0920711195288385,FALSE,-0.0669063484795156,0.229212230520756,"response","PJ",7
24,"tmean_C","JAN",0.167839949099267,TRUE,0.00866113542218654,0.321548693406387,"response","PJ",8
25,"tmean_C","FEB",0.121450492548056,FALSE,-0.0464317626088584,0.278563952817485,"response","PJ",9
26,"tmean_C","MAR",0.0319714168418556,FALSE,-0.120587790340508,0.169651883470569,"response","PJ",10
27,"tmean_C","APR",0.0758384981609758,FALSE,-0.0312498243018505,0.214793262605268,"response","PJ",11
28,"tmean_C","MAY",0.0137597802083877,FALSE,-0.0862072972236256,0.117641208555472,"response","PJ",12
29,"tmean_C","JUN",-0.0926745735531768,FALSE,-0.183832460668991,0.00114139118707617,"response","PJ",13
30,"tmean_C","JUL",0.00610151320324667,FALSE,-0.104147343723596,0.145888888048447,"response","PJ",14
31,"tmean_C","AUG",0.0970114347104554,FALSE,-0.0444847933536923,0.241135544465697,"response","PJ",15
32,"tmean_C","SEP",0.0405368279301584,FALSE,-0.106854437500462,0.186665211021144,"response","PJ",16
1,"spei1","Jun",0.227935015352227,TRUE,0.0522435908096558,0.401602216090922,"correlation","PL",1
2,"spei1","Jul",0.124860599555042,FALSE,-0.0700060381990064,0.316214111661464,"correlation","PL",2
3,"spei1","Aug",0.203343322468599,TRUE,0.0305036766419064,0.350594176671822,"correlation","PL",3
4,"spei1","Sep",0.127578025662212,FALSE,-0.0421018503377779,0.303448034883733,"correlation","PL",4
5,"spei1","Oct",0.186859970465391,TRUE,0.00738356380681667,0.359128772768257,"correlation","PL",5
6,"spei1","Nov",0.211484299386006,TRUE,0.0156502667575964,0.387780550542331,"correlation","PL",6
7,"spei1","Dec",0.141115107164632,FALSE,-0.0189914730129082,0.298691800394203,"correlation","PL",7
8,"spei1","JAN",0.300349207424127,TRUE,0.136945842847258,0.463561153826991,"correlation","PL",8
9,"spei1","FEB",0.185116066628497,TRUE,0.0224587954367612,0.33000196157698,"correlation","PL",9
10,"spei1","MAR",0.132311289093913,FALSE,-0.0870761824971599,0.303822814959163,"correlation","PL",10
11,"spei1","APR",0.175817736750746,TRUE,0.00636738404630684,0.318553444259656,"correlation","PL",11
12,"spei1","MAY",0.00669801437269958,FALSE,-0.165619633887239,0.192021698697306,"correlation","PL",12
13,"spei1","JUN",0.28349147192062,TRUE,0.122190940175147,0.419378054309132,"correlation","PL",13
14,"spei1","JUL",0.278596948733007,TRUE,0.120542731586935,0.406084250470568,"correlation","PL",14
15,"spei1","AUG",0.0782451954759348,FALSE,-0.150881522937489,0.315555426821278,"correlation","PL",15
