"tree1","tree2","pearson_r","decade","Site.x","Species.x","Region","hilo","Neighborhood.x","DBH","con_freq","con_freqBA","Site.y","Neighborhood.y","Species.y","dist"
"17pl1_2","17pj1_1",0.772269462522126,1960,"lc","PL","SENF","low",1,60.2,0.375,0.67954120382477,"lc",1,"PJ",7.30414894853232
"17pl1_3","17pj1_1",0.486075135350407,1960,"lc","PL","SENF","low",1,99.8,0.5,0.68435793636973,"lc",1,"PJ",7.97821497314064
"17pj1_3","17pj1_2",0.354784517201623,1960,"lc","PJ","SENF","low",1,44.4,0.714285714285714,0.607982258013631,"lc",1,"PJ",18.237180311066
"17pl1_1","17pj1_2",-0.086766903556378,1960,"lc","PL","SENF","low",1,122.9,0.333333333333333,0.677225472005439,"lc",1,"PJ",21.3771040101519
"17pl1_2","17pj1_2",0.0762774939927234,1960,"lc","PL","SENF","low",1,60.2,0.375,0.67954120382477,"lc",1,"PJ",20.1482297983858
"17pl1_3","17pj1_2",-0.0825370639126075,1960,"lc","PL","SENF","low",1,99.8,0.5,0.68435793636973,"lc",1,"PJ",26.4977110213273
"17pl1_1","17pj1_3",0.327385910457745,1960,"lc","PL","SENF","low",1,122.9,0.333333333333333,0.677225472005439,"lc",1,"PJ",29.7425856356142
"17pl1_2","17pj1_3",0.335257188957219,1960,"lc","PL","SENF","low",1,60.2,0.375,0.67954120382477,"lc",1,"PJ",26.3548855292245
"17pl1_3","17pj1_3",0.418869160787495,1960,"lc","PL","SENF","low",1,99.8,0.5,0.68435793636973,"lc",1,"PJ",38.1081101309736
"17pj2_3","17pj2_1",0.155356753783805,1960,"lc","PJ","SENF","low",2,14.4,0.183098591549296,0.250081432206516,"lc",2,"PJ",4.63749148632792
"17pl2_1","17pj2_1",-0.0306697837410077,1960,"lc","PL","SENF","low",2,52.7,0.112676056338028,0.0826540441858316,"lc",2,"PJ",11.6622404900675
"17pl2_2","17pj2_1",-1.00000000000016,1960,"lc","PL","SENF","low",2,38.6,0.0756302521008403,0.0671392995900192,"lc",2,"PJ",15.7978140197864
"17pl2_1","17pj2_3",0.84543441251895,1960,"lc","PL","SENF","low",2,52.7,0.112676056338028,0.0826540441858316,"lc",2,"PJ",13.5602179311721
"17pl2_2","17pj2_3",-1.00000000000004,1960,"lc","PL","SENF","low",2,38.6,0.0756302521008403,0.0671392995900192,"lc",2,"PJ",14.3305180977074
"17pl3_1","17pj3_1",0.821493659754907,1960,"lc","PL","SENF","low",3,97.3,0.102564102564103,0.31701146492426,"lc",3,"PJ",13.9847102608586
"17pl1_2","17pl1_1",0.57500504297255,1960,"lc","PL","SENF","low",1,60.2,0.375,0.67954120382477,"lc",1,"PL",3.96833316589026
"17pl1_3","17pl1_1",0.905954294145489,1960,"lc","PL","SENF","low",1,99.8,0.5,0.68435793636973,"lc",1,"PL",9.23801543268642
"17pl1_3","17pl1_2",0.452205937844388,1960,"lc","PL","SENF","low",1,99.8,0.5,0.68435793636973,"lc",1,"PL",13.2061479171636
"17pl2_2","17pl2_1",-1.00000000000003,1960,"lc","PL","SENF","low",2,38.6,0.0756302521008403,0.0671392995900192,"lc",2,"PL",10.3175308207927
"18ac1_2","18ac1_1",0.579180634960741,1960,"pp","AC","SENF","high",1,47.7,0.55,0.214756488703624,"pp",1,"AC",8.27556106088717
"18ac1_4","18ac1_1",0.306325227713348,1960,"pp","AC","SENF","high",1,48.7,0.538461538461538,0.113816058570306,"pp",1,"AC",8.03737501718833
"18ac1_6","18ac1_1",0.0950691167008138,1960,"pp","AC","SENF","high",1,52,0.711111111111111,0.513041625055203,"pp",1,"AC",19.9863947749067
"18pj1_1","18ac1_1",0.462719679658176,1960,"pp","PJ","SENF","high",1,90.9,0.0526315789473684,0.0903529916571096,"pp",1,"AC",3.75720273123454
"18pl1_1","18ac1_1",0.616219414227468,1960,"pp","PL","SENF","high",1,104.6,0.130434782608696,0.371192518893144,"pp",1,"AC",6.79670147281006
"18pl1_2","18ac1_1",0.570292452113882,1960,"pp","PL","SENF","high",1,116.6,0.125,0.377469348418262,"pp",1,"AC",8.27120410893313
"18pl1_3","18ac1_1",0.486274942917701,1960,"pp","PL","SENF","high",1,111.8,0.0731707317073171,0.34725476137367,"pp",1,"AC",13.8630430232044
"18ac1_4","18ac1_2",-0.0170644158693433,1960,"pp","AC","SENF","high",1,48.7,0.538461538461538,0.113816058570306,"pp",1,"AC",10.4194865473292
"18ac1_6","18ac1_2",0.118435868625073,1960,"pp","AC","SENF","high",1,52,0.711111111111111,0.513041625055203,"pp",1,"AC",18.1441860153356
"18pj1_1","18ac1_2",0.647824782311542,1960,"pp","PJ","SENF","high",1,90.9,0.0526315789473684,0.0903529916571096,"pp",1,"AC",5.57182386002174
"18pl1_1","18ac1_2",0.624058091986506,1960,"pp","PL","SENF","high",1,104.6,0.130434782608696,0.371192518893144,"pp",1,"AC",13.7028896453085
