".variable",".value",".lower",".upper",".width",".point",".interval","tree1","spp1","tree2","spp2","pair","comp","Site","Neighborhood","focal_sp","comp_sp"
"rescor__t4ac11__t4ac1105",0.279945613222417,0.0311466566911631,0.496196561591968,0.95,"median","qi","4ac11","ac","4ac1105","ac","ac-ac","intra","cm",1,"ac","self"
"rescor__t4ac11__t4ac12",-0.0705752366342901,-0.309202358712364,0.174159873020696,0.95,"median","qi","4ac11","ac","4ac12","ac","ac-ac","intra","cm",1,"ac","self"
"rescor__t4ac1102__t4ac1105",0.448782249995293,0.232891621152108,0.626793326408729,0.95,"median","qi","4ac1102","ac","4ac1105","ac","ac-ac","intra","cm",1,"ac","self"
"rescor__t4ac12__t4ac1102",0.172847291492537,-0.073676547474336,0.393193872160946,0.95,"median","qi","4ac12","ac","4ac1102","ac","ac-ac","intra","cm",1,"ac","self"
"rescor__t4ac12__t4ac1105",0.211478262751267,-0.0281056444456704,0.435760445779352,0.95,"median","qi","4ac12","ac","4ac1105","ac","ac-ac","intra","cm",1,"ac","self"
"rescor__t4ac21__t4ac21924",0.48130950267571,0.319239463233759,0.61230978955661,0.95,"median","qi","4ac21","ac","4ac21924","ac","ac-ac","intra","cm",2,"ac","self"
"rescor__t4ac21__t4ac22",0.350599891272442,0.169031435025037,0.507540077708523,0.95,"median","qi","4ac21","ac","4ac22","ac","ac-ac","intra","cm",2,"ac","self"
"rescor__t4ac21__t4ac23",0.482960987352628,0.309944246926153,0.61016641788535,0.95,"median","qi","4ac21","ac","4ac23","ac","ac-ac","intra","cm",2,"ac","self"
"rescor__t4ac22__t4ac21924",0.4682961277207,0.311709956867219,0.605595938600116,0.95,"median","qi","4ac22","ac","4ac21924","ac","ac-ac","intra","cm",2,"ac","self"
"rescor__t4ac22__t4ac23",0.328746132474661,0.148313897630802,0.481175589177447,0.95,"median","qi","4ac22","ac","4ac23","ac","ac-ac","intra","cm",2,"ac","self"
"rescor__t4ac23__t4ac21924",0.363232122694797,0.178386041823493,0.523879187073077,0.95,"median","qi","4ac23","ac","4ac21924","ac","ac-ac","intra","cm",2,"ac","self"
"rescor__t4ac31__t4ac31954",0.118050455517409,-0.110125146419452,0.334677027539036,0.95,"median","qi","4ac31","ac","4ac31954","ac","ac-ac","intra","cm",3,"ac","self"
"rescor__t4ac31__t4ac31967",0.377798781212926,0.152877361029296,0.559401716700557,0.95,"median","qi","4ac31","ac","4ac31967","ac","ac-ac","intra","cm",3,"ac","self"
"rescor__t4ac31__t4ac32",0.2419993469246,0.0124388996942811,0.450401635827529,0.95,"median","qi","4ac31","ac","4ac32","ac","ac-ac","intra","cm",3,"ac","self"
"rescor__t4ac31954__t4ac31967",0.587951336491993,0.404653014893804,0.726734990557385,0.95,"median","qi","4ac31954","ac","4ac31967","ac","ac-ac","intra","cm",3,"ac","self"
"rescor__t4ac32__t4ac31954",0.185173752666123,-0.0568249078129019,0.392496211448127,0.95,"median","qi","4ac32","ac","4ac31954","ac","ac-ac","intra","cm",3,"ac","self"
"rescor__t4ac32__t4ac31967",0.445642689347133,0.226726052120253,0.612554005706387,0.95,"median","qi","4ac32","ac","4ac31967","ac","ac-ac","intra","cm",3,"ac","self"
"rescor__t17ac11__t17ac12",0.0845792201757868,-0.206593000237669,0.356323482953515,0.95,"median","qi","17ac11","ac","17ac12","ac","ac-ac","intra","lc",1,"ac","self"
