".variable",".value",".lower",".upper",".width",".point",".interval","tree1","spp1","tree2","spp2","pair","comp","Site","Neighborhood","focal_sp","comp_sp"
"rescor__t18ac32__t18pj32",0.0552862653506518,-0.273908974631231,0.38007725916945,0.95,"median","qi","18ac32","ac","18pj32","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t18ac33__t18pj31",0.19240909171293,-0.146241761430939,0.477857681285707,0.95,"median","qi","18ac33","ac","18pj31","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t18ac33__t18pj32",0.400941236420601,0.0822109462892603,0.643574707138147,0.95,"median","qi","18ac33","ac","18pj32","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t18ac34__t18pj31",-0.0807953252100362,-0.391282065511805,0.23743425930246,0.95,"median","qi","18ac34","ac","18pj31","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t18ac34__t18pj32",0.374055568074639,0.0444020004673547,0.619818539511928,0.95,"median","qi","18ac34","ac","18pj32","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t18ac35__t18pj31",-0.11134492728408,-0.425954636815702,0.242310944965875,0.95,"median","qi","18ac35","ac","18pj31","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t18ac35__t18pj32",0.0345220191971775,-0.303489869756855,0.362388322796185,0.95,"median","qi","18ac35","ac","18pj32","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t18ac36__t18pj31",-0.0275854491131715,-0.356129656785681,0.323205982201458,0.95,"median","qi","18ac36","ac","18pj31","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t18ac36__t18pj32",-0.0304709024977467,-0.3527083933332,0.287199944067445,0.95,"median","qi","18ac36","ac","18pj32","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t18ac37__t18pj31",-0.180976115128549,-0.483385461966946,0.149344064687346,0.95,"median","qi","18ac37","ac","18pj31","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t18ac37__t18pj32",-0.0751452649870749,-0.377172552123916,0.242369809573815,0.95,"median","qi","18ac37","ac","18pj32","pj","ac-pj","inter","pp",3,"ac","pj"
"rescor__t8ac11__t8pj11",0.212945545125617,-0.148787205117077,0.518886277518953,0.95,"median","qi","8ac11","ac","8pj11","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac11__t8pj12",0.438303824962831,0.0579567087793334,0.688329021781907,0.95,"median","qi","8ac11","ac","8pj12","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac11__t8pj13",0.541931594093012,0.191989370225023,0.761576116715072,0.95,"median","qi","8ac11","ac","8pj13","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac11__t8pj1497",0.379810847261321,0.0230499511594191,0.654697441250987,0.95,"median","qi","8ac11","ac","8pj1497","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac12__t8pj11",-0.00172962336376688,-0.359689733780328,0.355819877397913,0.95,"median","qi","8ac12","ac","8pj11","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac12__t8pj12",0.281866232038534,-0.092751575446994,0.575182308765142,0.95,"median","qi","8ac12","ac","8pj12","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac12__t8pj13",0.115558241470521,-0.249001757039427,0.438775747558317,0.95,"median","qi","8ac12","ac","8pj13","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac12__t8pj1497",0.202427909067094,-0.178384084067765,0.523879336822921,0.95,"median","qi","8ac12","ac","8pj1497","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac13157__t8pj11",0.323012178252132,-0.0464155909445373,0.615257319638319,0.95,"median","qi","8ac13157","ac","8pj11","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac13157__t8pj12",0.166780250392734,-0.207533426905464,0.490149678259772,0.95,"median","qi","8ac13157","ac","8pj12","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac13157__t8pj13",0.198170427154386,-0.172183612819275,0.507866722857998,0.95,"median","qi","8ac13157","ac","8pj13","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac13157__t8pj1497",0.0723088151946825,-0.289287139948377,0.412937364240874,0.95,"median","qi","8ac13157","ac","8pj1497","pj","ac-pj","inter","pr",1,"ac","pj"
"rescor__t8ac21__t8pj21",-0.00540767691646665,-0.270370071110969,0.267926192181427,0.95,"median","qi","8ac21","ac","8pj21","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac21__t8pj22",-0.00465827259397688,-0.25798518991759,0.244328674592935,0.95,"median","qi","8ac21","ac","8pj22","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac21__t8pj2552",-0.0703744168949826,-0.342144764236423,0.202129930777046,0.95,"median","qi","8ac21","ac","8pj2552","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac22__t8pj21",4.07106459854029e-05,-0.274934413666678,0.272499432219911,0.95,"median","qi","8ac22","ac","8pj21","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac22__t8pj22",0.0966160899580332,-0.163277626663664,0.350262411859809,0.95,"median","qi","8ac22","ac","8pj22","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac22__t8pj2552",0.0936986456772972,-0.179550775380617,0.359705987286966,0.95,"median","qi","8ac22","ac","8pj2552","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac24__t8pj21",0.11801034928264,-0.167579723474088,0.374166649552855,0.95,"median","qi","8ac24","ac","8pj21","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac24__t8pj22",0.0115868773640557,-0.243615537689277,0.269024239206454,0.95,"median","qi","8ac24","ac","8pj22","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac24__t8pj2552",-0.0944619929257378,-0.357863397942752,0.199524560279555,0.95,"median","qi","8ac24","ac","8pj2552","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac2528__t8pj21",-0.0154121899022849,-0.283296948185836,0.25930775473283,0.95,"median","qi","8ac2528","ac","8pj21","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac2528__t8pj22",0.137177029481293,-0.123764567776303,0.376039220791444,0.95,"median","qi","8ac2528","ac","8pj22","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac2528__t8pj2552",-0.0491789045568643,-0.322127923899112,0.237327753500426,0.95,"median","qi","8ac2528","ac","8pj2552","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac2533__t8pj21",-0.181200799583617,-0.440185933629984,0.10386172285337,0.95,"median","qi","8ac2533","ac","8pj21","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac2533__t8pj22",-0.0636105852584657,-0.319386022856057,0.196108179617583,0.95,"median","qi","8ac2533","ac","8pj22","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac2533__t8pj2552",-0.161238220880151,-0.42983777675453,0.121542353077855,0.95,"median","qi","8ac2533","ac","8pj2552","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac2543__t8pj21",0.0201748778101946,-0.259362881572723,0.305611866517435,0.95,"median","qi","8ac2543","ac","8pj21","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac2543__t8pj22",-0.00907267805810322,-0.269468028682245,0.249187701690148,0.95,"median","qi","8ac2543","ac","8pj22","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac2543__t8pj2552",-0.174996654968642,-0.43992134430437,0.108083515294667,0.95,"median","qi","8ac2543","ac","8pj2552","pj","ac-pj","inter","pr",2,"ac","pj"
"rescor__t8ac33__t8pj31",-0.0722390981351805,-0.400228743337441,0.294281851963819,0.95,"median","qi","8ac33","ac","8pj31","pj","ac-pj","inter","pr",3,"ac","pj"
"rescor__t8ac33__t8pj32",0.108274439727681,-0.257599562632319,0.451010458910964,0.95,"median","qi","8ac33","ac","8pj32","pj","ac-pj","inter","pr",3,"ac","pj"
"rescor__t8ac33__t8pj3598",0.515054809626572,0.158060528332878,0.746859701143114,0.95,"median","qi","8ac33","ac","8pj3598","pj","ac-pj","inter","pr",3,"ac","pj"
"rescor__t8ac34__t8pj31",0.110113738234581,-0.272822340749912,0.46183906512968,0.95,"median","qi","8ac34","ac","8pj31","pj","ac-pj","inter","pr",3,"ac","pj"
"rescor__t8ac34__t8pj32",0.00769156445923251,-0.361240592063978,0.379467812776623,0.95,"median","qi","8ac34","ac","8pj32","pj","ac-pj","inter","pr",3,"ac","pj"
"rescor__t8ac34__t8pj3598",0.316253254163687,-0.0503273578422928,0.60831110648388,0.95,"median","qi","8ac34","ac","8pj3598","pj","ac-pj","inter","pr",3,"ac","pj"
"rescor__t10ac11__t10pj11",0.489532366748602,0.233879163016386,0.676068874814857,0.95,"median","qi","10ac11","ac","10pj11","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac11__t10pj12",0.450391445468413,0.201376472896788,0.646438182099645,0.95,"median","qi","10ac11","ac","10pj12","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac11__t10pj13",0.344398434821664,0.0733368621952828,0.557526427564006,0.95,"median","qi","10ac11","ac","10pj13","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac12__t10pj11",0.319000599527961,0.0454862005543248,0.538407225568208,0.95,"median","qi","10ac12","ac","10pj11","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac12__t10pj12",0.173833393648997,-0.107922387572163,0.422243372095055,0.95,"median","qi","10ac12","ac","10pj12","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac12__t10pj13",0.412050329599614,0.152731506985782,0.628203154098601,0.95,"median","qi","10ac12","ac","10pj13","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac13__t10pj11",0.435248159435379,0.177546747574742,0.635046259110498,0.95,"median","qi","10ac13","ac","10pj11","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac13__t10pj12",0.160454717721191,-0.107650841034587,0.406479384824881,0.95,"median","qi","10ac13","ac","10pj12","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac13__t10pj13",0.342306649574776,0.0773837453495037,0.554012562166561,0.95,"median","qi","10ac13","ac","10pj13","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac14__t10pj11",0.27785530463168,-0.00326274650451259,0.512228958477523,0.95,"median","qi","10ac14","ac","10pj11","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac14__t10pj12",0.281403908858015,0.0127317042492045,0.519579470946202,0.95,"median","qi","10ac14","ac","10pj12","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac14__t10pj13",0.303642755104803,0.0130266337420004,0.532993611721423,0.95,"median","qi","10ac14","ac","10pj13","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac15__t10pj11",0.426745837182301,0.147244390741485,0.623516101083913,0.95,"median","qi","10ac15","ac","10pj11","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac15__t10pj12",0.142665562694109,-0.130345319325936,0.39270584147308,0.95,"median","qi","10ac15","ac","10pj12","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac15__t10pj13",0.394083040901752,0.134081978951474,0.603102870964424,0.95,"median","qi","10ac15","ac","10pj13","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac16__t10pj11",0.182618811168416,-0.098295043208132,0.435429312171873,0.95,"median","qi","10ac16","ac","10pj11","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac16__t10pj12",0.178637004047233,-0.110788257031848,0.432722068764004,0.95,"median","qi","10ac16","ac","10pj12","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac16__t10pj13",-0.0609745062655585,-0.325940952406554,0.218015385614578,0.95,"median","qi","10ac16","ac","10pj13","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac17__t10pj11",0.122924505695644,-0.155433277579862,0.365012174268183,0.95,"median","qi","10ac17","ac","10pj11","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac17__t10pj12",0.188804598471642,-0.0888778326618365,0.443586889897625,0.95,"median","qi","10ac17","ac","10pj12","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac17__t10pj13",0.122892441637191,-0.159717675345484,0.377362593069315,0.95,"median","qi","10ac17","ac","10pj13","pj","ac-pj","inter","sl",1,"ac","pj"
"rescor__t10ac21__t10pj21",0.253933237660458,-0.0170961647448759,0.478727984723934,0.95,"median","qi","10ac21","ac","10pj21","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac21__t10pj22",0.357882746260579,0.101506266881598,0.571665209024627,0.95,"median","qi","10ac21","ac","10pj22","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac21__t10pj23",0.170392184954948,-0.0820632202314582,0.406111269833628,0.95,"median","qi","10ac21","ac","10pj23","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac21__t10pj24",0.361797491013394,0.104252049721944,0.572919361637918,0.95,"median","qi","10ac21","ac","10pj24","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac21__t10pj25",-0.111302075053848,-0.353563744099557,0.152867825312553,0.95,"median","qi","10ac21","ac","10pj25","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac22__t10pj21",0.378684302369306,0.113055500246458,0.584269067040859,0.95,"median","qi","10ac22","ac","10pj21","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac22__t10pj22",0.193331713726119,-0.0771995751443086,0.433839743869806,0.95,"median","qi","10ac22","ac","10pj22","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac22__t10pj23",0.142325703555956,-0.129754630792702,0.397489051143184,0.95,"median","qi","10ac22","ac","10pj23","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac22__t10pj24",0.212181334206767,-0.053104067329324,0.446870340905582,0.95,"median","qi","10ac22","ac","10pj24","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac22__t10pj25",0.0844016910178658,-0.167535820712762,0.338465599825185,0.95,"median","qi","10ac22","ac","10pj25","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac23__t10pj21",0.376227759150455,0.115291264297544,0.583913189750529,0.95,"median","qi","10ac23","ac","10pj21","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac23__t10pj22",0.250190795430725,-0.0203106818306465,0.470352900607625,0.95,"median","qi","10ac23","ac","10pj22","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac23__t10pj23",0.0255561949463526,-0.238225608746908,0.279965894294448,0.95,"median","qi","10ac23","ac","10pj23","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac23__t10pj24",0.154737694003023,-0.114058560690389,0.398831098149744,0.95,"median","qi","10ac23","ac","10pj24","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac23__t10pj25",-0.366122534941379,-0.575151624891051,-0.107415755434076,0.95,"median","qi","10ac23","ac","10pj25","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac24__t10pj21",0.362504883233786,0.108089711609924,0.569201093728347,0.95,"median","qi","10ac24","ac","10pj21","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac24__t10pj22",0.308799126195468,0.0513577458411653,0.527012588018587,0.95,"median","qi","10ac24","ac","10pj22","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac24__t10pj23",0.312674164662634,0.0599093083261162,0.53941687699806,0.95,"median","qi","10ac24","ac","10pj23","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac24__t10pj24",0.35147347553011,0.0946838799494734,0.56014090401556,0.95,"median","qi","10ac24","ac","10pj24","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac24__t10pj25",-0.230090352791633,-0.455478782411723,0.0232577292530918,0.95,"median","qi","10ac24","ac","10pj25","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac25__t10pj21",0.375159232063011,0.12115365998747,0.584520460917772,0.95,"median","qi","10ac25","ac","10pj21","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac25__t10pj22",0.486491445335415,0.238022957665776,0.668857095566555,0.95,"median","qi","10ac25","ac","10pj22","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac25__t10pj23",0.139397423577313,-0.121204781001623,0.381565266626767,0.95,"median","qi","10ac25","ac","10pj23","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac25__t10pj24",0.568275095260118,0.338018251604778,0.729520313043091,0.95,"median","qi","10ac25","ac","10pj24","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac25__t10pj25",-0.206217711165216,-0.444895492475539,0.0510662942283143,0.95,"median","qi","10ac25","ac","10pj25","pj","ac-pj","inter","sl",2,"ac","pj"
"rescor__t10ac31__t10pj31",0.0789058314819354,-0.248870531195957,0.378273921593443,0.95,"median","qi","10ac31","ac","10pj31","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac31__t10pj32",0.109317195355976,-0.206687189593003,0.390928763919236,0.95,"median","qi","10ac31","ac","10pj32","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac31__t10pj33",0.0790251966656439,-0.235633264140903,0.360385424850468,0.95,"median","qi","10ac31","ac","10pj33","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac31__t10pj34",0.171679836381664,-0.151122334991694,0.457244478204639,0.95,"median","qi","10ac31","ac","10pj34","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac32__t10pj31",0.430943624194531,0.121949053853145,0.648832309676662,0.95,"median","qi","10ac32","ac","10pj31","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac32__t10pj32",0.406869347349539,0.113140791633711,0.633718354018478,0.95,"median","qi","10ac32","ac","10pj32","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac32__t10pj33",0.369252870826629,0.0697856235582607,0.60455691025137,0.95,"median","qi","10ac32","ac","10pj33","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac32__t10pj34",0.239232702209486,-0.0738757562891488,0.507573469705205,0.95,"median","qi","10ac32","ac","10pj34","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac33__t10pj31",0.165646786986001,-0.14207657777757,0.440499303530866,0.95,"median","qi","10ac33","ac","10pj31","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac33__t10pj32",0.398538191172017,0.116664489271143,0.618170505403261,0.95,"median","qi","10ac33","ac","10pj32","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac33__t10pj33",0.217829286968642,-0.0775115339694373,0.487532563751453,0.95,"median","qi","10ac33","ac","10pj33","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac33__t10pj34",0.510952180841497,0.220745703204368,0.713902163321317,0.95,"median","qi","10ac33","ac","10pj34","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac34__t10pj31",0.314233741152985,0.0100257232506193,0.566945838073672,0.95,"median","qi","10ac34","ac","10pj31","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac34__t10pj32",0.228878138891262,-0.0667517662742804,0.487730824256523,0.95,"median","qi","10ac34","ac","10pj32","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac34__t10pj33",0.194069928550767,-0.111531316799697,0.462360453567832,0.95,"median","qi","10ac34","ac","10pj33","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac34__t10pj34",0.186702829253466,-0.122795601661631,0.462680734400994,0.95,"median","qi","10ac34","ac","10pj34","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac35__t10pj31",0.199277249539372,-0.0978114762604253,0.479510838680496,0.95,"median","qi","10ac35","ac","10pj31","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac35__t10pj32",0.236193028309375,-0.0684085468815211,0.487842267822614,0.95,"median","qi","10ac35","ac","10pj32","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac35__t10pj33",0.406742469954828,0.115317616383263,0.632088600061755,0.95,"median","qi","10ac35","ac","10pj33","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t10ac35__t10pj34",0.231758502072858,-0.0792176087982098,0.494355485102297,0.95,"median","qi","10ac35","ac","10pj34","pj","ac-pj","inter","sl",3,"ac","pj"
"rescor__t11ac11__t11pl11",0.146688555364075,-0.0846868568291964,0.356071161697734,0.95,"median","qi","11ac11","ac","11pl11","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac11__t11pl12",0.0951105945283981,-0.133817543752227,0.31971150776366,0.95,"median","qi","11ac11","ac","11pl12","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac11__t11pl124",0.158425205425964,-0.0747523485773464,0.379195960001026,0.95,"median","qi","11ac11","ac","11pl124","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac11__t11pl14",0.394192024319634,0.177714990800554,0.577405540913493,0.95,"median","qi","11ac11","ac","11pl14","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac12__t11pl11",0.367122011317882,0.150548785089344,0.546898121601764,0.95,"median","qi","11ac12","ac","11pl11","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac12__t11pl12",0.11791070952545,-0.10995574952075,0.328061458897846,0.95,"median","qi","11ac12","ac","11pl12","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac12__t11pl124",0.149933944530348,-0.0797987174315927,0.361234276543975,0.95,"median","qi","11ac12","ac","11pl124","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac12__t11pl14",0.322370112606057,0.102043907582405,0.509713852908952,0.95,"median","qi","11ac12","ac","11pl14","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac13__t11pl11",0.23225053074525,0.000741456394529272,0.434714910689544,0.95,"median","qi","11ac13","ac","11pl11","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac13__t11pl12",0.222924315927252,0.0048675205108458,0.428980580696361,0.95,"median","qi","11ac13","ac","11pl12","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac13__t11pl124",0.25797310400396,0.0289223375555215,0.456360075231365,0.95,"median","qi","11ac13","ac","11pl124","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac13__t11pl14",0.234973591290425,0.00366617095669444,0.43043214289346,0.95,"median","qi","11ac13","ac","11pl14","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac14__t11pl11",0.387988572634953,0.173488771061031,0.565631303927549,0.95,"median","qi","11ac14","ac","11pl11","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac14__t11pl12",0.35425492012892,0.141962360118275,0.543395562832253,0.95,"median","qi","11ac14","ac","11pl12","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac14__t11pl124",0.311858820575851,0.0793225925365229,0.507990657203966,0.95,"median","qi","11ac14","ac","11pl124","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac14__t11pl14",0.307255951041565,0.0828893603634209,0.495962741106828,0.95,"median","qi","11ac14","ac","11pl14","pl","ac-pl","inter","bm",1,"ac","pl"
"rescor__t11ac21__t11pl21",0.276705288422575,-0.0806053797942174,0.564409352245847,0.95,"median","qi","11ac21","ac","11pl21","pl","ac-pl","inter","bm",2,"ac","pl"
"rescor__t11ac21__t11pl22",0.388333297822119,0.0613249079215585,0.641257249241294,0.95,"median","qi","11ac21","ac","11pl22","pl","ac-pl","inter","bm",2,"ac","pl"
"rescor__t11ac210__t11pl21",0.212388696960077,-0.126410793819914,0.508511836974908,0.95,"median","qi","11ac210","ac","11pl21","pl","ac-pl","inter","bm",2,"ac","pl"
"rescor__t11ac210__t11pl22",0.271593658699507,-0.0500070589570866,0.538422299339081,0.95,"median","qi","11ac210","ac","11pl22","pl","ac-pl","inter","bm",2,"ac","pl"
"rescor__t11ac211__t11pl21",0.4194569118389,0.117023846617692,0.665253079342772,0.95,"median","qi","11ac211","ac","11pl21","pl","ac-pl","inter","bm",2,"ac","pl"
"rescor__t11ac211__t11pl22",0.584896580607869,0.30682399567299,0.761310172138422,0.95,"median","qi","11ac211","ac","11pl22","pl","ac-pl","inter","bm",2,"ac","pl"
"rescor__t11ac23__t11pl21",0.423618238971769,0.0727175072793616,0.675766552723883,0.95,"median","qi","11ac23","ac","11pl21","pl","ac-pl","inter","bm",2,"ac","pl"
"rescor__t11ac23__t11pl22",0.515379412264011,0.186716518125627,0.723940942696066,0.95,"median","qi","11ac23","ac","11pl22","pl","ac-pl","inter","bm",2,"ac","pl"
"rescor__t11ac31__t11pl31",0.247572196618042,-0.0326370438903067,0.489331073745809,0.95,"median","qi","11ac31","ac","11pl31","pl","ac-pl","inter","bm",3,"ac","pl"
"rescor__t11ac31__t11pl33",0.231843267560833,-0.0435060368949088,0.473946020848586,0.95,"median","qi","11ac31","ac","11pl33","pl","ac-pl","inter","bm",3,"ac","pl"
"rescor__t11ac32__t11pl31",0.265853335376427,-0.0120966735211305,0.519205150214491,0.95,"median","qi","11ac32","ac","11pl31","pl","ac-pl","inter","bm",3,"ac","pl"
"rescor__t11ac32__t11pl33",0.44205291039082,0.182756176514558,0.643312632117337,0.95,"median","qi","11ac32","ac","11pl33","pl","ac-pl","inter","bm",3,"ac","pl"
"rescor__t11ac34__t11pl31",0.344529239075863,0.0535925670950566,0.571373180530159,0.95,"median","qi","11ac34","ac","11pl31","pl","ac-pl","inter","bm",3,"ac","pl"
"rescor__t11ac34__t11pl33",0.357978081323454,0.0826280806142491,0.58565040957316,0.95,"median","qi","11ac34","ac","11pl33","pl","ac-pl","inter","bm",3,"ac","pl"
"rescor__t4ac11__t4pl11",-0.175027609121396,-0.404715276215517,0.0717028587153398,0.95,"median","qi","4ac11","ac","4pl11","pl","ac-pl","inter","cm",1,"ac","pl"
"rescor__t4ac11__t4pl1122",0.149433171611041,-0.0905334483925626,0.381087936833271,0.95,"median","qi","4ac11","ac","4pl1122","pl","ac-pl","inter","cm",1,"ac","pl"
"rescor__t4ac11__t4pl12",0.17382316308795,-0.0815774529354725,0.40821781795418,0.95,"median","qi","4ac11","ac","4pl12","pl","ac-pl","inter","cm",1,"ac","pl"
"rescor__t4ac1102__t4pl11",0.0868873805252144,-0.146085576991189,0.328518657415363,0.95,"median","qi","4ac1102","ac","4pl11","pl","ac-pl","inter","cm",1,"ac","pl"
"rescor__t4ac1102__t4pl1122",0.209904569561952,-0.0222998668707535,0.42683621679331,0.95,"median","qi","4ac1102","ac","4pl1122","pl","ac-pl","inter","cm",1,"ac","pl"
"rescor__t4ac1102__t4pl12",0.371767669985334,0.133462084111008,0.561048373871547,0.95,"median","qi","4ac1102","ac","4pl12","pl","ac-pl","inter","cm",1,"ac","pl"
"rescor__t4ac1105__t4pl11",-0.124567660740118,-0.34142667313504,0.124024568266998,0.95,"median","qi","4ac1105","ac","4pl11","pl","ac-pl","inter","cm",1,"ac","pl"
"rescor__t4ac1105__t4pl1122",0.402629146039672,0.173544964515636,0.591543880927202,0.95,"median","qi","4ac1105","ac","4pl1122","pl","ac-pl","inter","cm",1,"ac","pl"
"rescor__t4ac1105__t4pl12",0.101523029086329,-0.137483534477008,0.332318819456224,0.95,"median","qi","4ac1105","ac","4pl12","pl","ac-pl","inter","cm",1,"ac","pl"
"rescor__t4ac12__t4pl11",-0.340763073874189,-0.537796655457094,-0.0980628791400754,0.95,"median","qi","4ac12","ac","4pl11","pl","ac-pl","inter","cm",1,"ac","pl"
